rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Connecticut,BE,37-3,127.96555621028357,1,91.27109570939685,4,0.9798887624385693,1,37.0,3.0,18.0,2.0,18-2,0.6971563618663279,0.4617441899149911,0.7631708378580505,0.6971563618663279,0.4617441899149911,0.7631708378580505,0.6411405221395862,0.7593506460126723,111.7079599826639,101.50420048528805,111.7079599826639,101.50420048528805,126.37895353922497,93.95273332365028,127.70838917356947,92.32229909684078,0.9765998168875456,22.0,0.04663705449725308,1565.0,1288.0,1298.1499999999999,1.2055617609675309,0.9921811809112969,0.0,0.9,11.23709734384979,1,77,64.64591569800642
2,Houston,B12,32-5,119.6421505945936,15,86.48042036238701,1,0.9766322318705832,2,32.0,5.0,15.0,3.0,15-3,0.7131224411553191,0.4976407969879318,0.8323588456249722,0.7131224411553191,0.4976407969879318,0.8323588456249722,0.6660045870014001,0.8412750951695122,111.08716735431915,100.18475050532277,111.08716735431915,100.18475050532277,122.317471944881,89.54710454765114,119.66011593206201,90.35024406045034,0.9619864921442827,20.0,-0.011355909646267093,1313.0,1122.0,1167.2125,1.124902277862857,0.9612645512278183,0.0,0.8333333333333334,9.9530758308628,3,203,63.43883674141682
3,Purdue,B10,34-5,126.01964010310417,3,94.46131775315587,15,0.964934570629403,3,34.0,5.0,17.0,3.0,17-3,0.7669563470253703,0.6685725876047295,0.7983182240554846,0.7669563470253703,0.6685725876047295,0.7983182240554846,0.6276690417096041,0.676004322086089,113.61297768944976,99.7513168971582,113.61297768944976,99.7513168971582,129.30752018645683,98.21048979365376,122.10934822636247,94.17197575892084,0.9520123559689526,20.0,0.06322588351937053,1657.0,1452.0,1364.35,1.2144977461794995,1.0642430461391872,0.0,0.85,10.625115025405277,2,50,67.10715900894353
4,Auburn,SEC,27-8,121.01103064955028,10,93.07229375538142,7,0.9534166730925606,4,27.0,8.0,13.0,5.0,13-5,0.688862022345843,0.5310769621296653,0.7718788868983728,0.688862022345843,0.5310769621296653,0.7718788868983728,0.7235944543295045,0.8426314728447513,111.15163701430461,102.1295535347184,111.15163701430461,102.1295535347184,120.19125027209301,92.92983931894072,112.10096943311673,91.24994452147953,0.9142503413547338,10.0,-0.06722661681935316,1485.0,1258.0,1274.2250000000001,1.1654142714198825,0.9872667699974493,0.0,0.7222222222222222,5.211275937465332,9,318,69.97215943017831
5,Iowa St.,B12,29-8,113.61171376543527,53,87.66897824724688,2,0.9517089397602373,5,29.0,8.0,13.0,5.0,13-5,0.6722037521359215,0.37473778006987885,0.8323469600348994,0.6722037521359215,0.37473778006987885,0.8323469600348994,0.6789035404302899,0.8901708654116665,110.20879625081412,101.0865635425323,110.20879625081412,101.0865635425323,111.63987638870397,88.3290958470289,114.72797698908303,88.40317519482204,0.9524630606619008,15.0,-0.00717819673816622,1227.0,1156.0,1198.575,1.0237156623490395,0.9644786517322653,0.0,0.7222222222222222,6.2741794747618655,6,185,67.35058311670153
6,Arizona,P12,27-9,120.5079608500738,12,93.26607455491782,8,0.9501207025445028,6,27.0,9.0,15.0,5.0,15-5,0.727822993030231,0.6729844566351749,0.7509677880913366,0.727822993030231,0.6729844566351749,0.7509677880913366,0.6950263316568457,0.678219751001463,111.52355746399932,100.66068445121641,111.52355746399932,100.66068445121641,124.63308769601906,96.98461942210432,123.25572381473863,90.57171508164156,0.9718969525858592,12.0,-0.06021258130111762,1755.0,1495.0,1478.1125000000004,1.1873250513746414,1.0114250437635834,0.0,0.75,4.852624771304415,10,305,72.31045500346266
7,Tennessee,SEC,27-9,115.912561999994,31,90.44242747800348,3,0.945494703037378,7,27.0,9.0,14.0,4.0,14-4,0.735798900629087,0.6384403771400818,0.7860980074797161,0.735798900629087,0.6384403771400818,0.7860980074797161,0.6444071916585935,0.6929222459765678,113.86548403692343,101.38083975801636,113.86548403692343,101.38083975801636,118.8094642116815,91.97515717769815,115.79306075735632,93.00826219327475,0.9255208578246331,19.0,-0.0031397574903491154,1475.0,1263.0,1274.7375,1.1571009717686975,0.9907922219280441,0.0,0.7777777777777778,5.601467696448998,7,180,69.19434051878352
8,Duke,ACC,27-9,121.26508516503623,9,95.47300060411719,20,0.9399166034280567,8,27.0,9.0,15.0,5.0,15-5,0.6918135106018531,0.5266826471544621,0.7520014149253759,0.6918135106018531,0.5266826471544621,0.7520014149253759,0.7057890608816947,0.800198498977072,110.37980304576735,100.96007601381935,110.37980304576735,100.96007601381935,122.37473182176365,96.70036800309055,120.6939342903671,97.21078971008599,0.9233193563931157,14.0,-0.03903090948618415,1554.0,1356.0,1332.8,1.165966386554622,1.017406962785114,0.0,0.75,3.5182125226348586,15,270,66.49878248610442
9,North Carolina,ACC,29-8,119.19096656466178,18,94.27372662984959,14,0.9368512205489056,9,29.0,8.0,17.0,3.0,17-3,0.7293835290305588,0.6247485711378662,0.7790385535106227,0.7293835290305588,0.6247485711378662,0.7790385535106227,0.6723658140327458,0.718741883664175,111.90579122559352,100.42887039681926,111.90579122559352,100.42887039681926,116.16802153495394,90.8378359394148,119.25234236374313,92.57863209823607,0.9484173482591891,16.0,0.028390511706872457,1573.0,1363.0,1415.7250000000001,1.111091490225856,0.9627575976972929,0.0,0.85,6.988170651387371,4,106,70.49324322002883
10,Creighton,BE,25-10,121.67812966590763,8,97.05670960251325,32,0.9308592686972125,10,25.0,10.0,14.0,6.0,14-6,0.7151911719503421,0.5900348658520721,0.7682371016973224,0.7151911719503421,0.5900348658520721,0.7682371016973224,0.6591238772268945,0.7614860994927841,111.38896977913228,100.14913480975777,111.38896977913228,100.14913480975777,120.38930339129709,95.1730342875277,119.42612525392549,94.1700964894698,0.9389085361008789,15.0,-0.010390028808330953,1574.0,1421.0,1393.225,1.1297529114105762,1.0199357605555457,0.0,0.7,4.394601191753814,13,197,66.72952802519815
11,Marquette,BE,27-10,118.62924637166998,20,94.87339843074153,16,0.9288915970034779,11,27.0,10.0,14.0,6.0,14-6,0.7420911159662251,0.6452034760614082,0.7684391943542404,0.7420911159662251,0.6452034760614082,0.7684391943542404,0.6263612390959183,0.6907781069132234,112.81188500105367,99.50617480748605,112.81188500105367,99.50617480748605,119.24521562164786,95.4674211970567,115.13992726755755,94.64948708163709,0.904963056278853,20.0,0.04191951401341454,1573.0,1425.0,1394.7375000000002,1.1278107887684956,1.0216976312747021,0.0,0.7,6.551549302060943,5,85,69.07722629013733
12,Gonzaga,WCC,27-8,123.55076132148142,5,99.06769647127646,57,0.9268825472592095,12,27.0,8.0,14.0,2.0,14-2,0.578327236572997,0.5764089196620761,0.4924941821758899,0.578327236572997,0.5764089196620761,0.4924941821758899,0.7451940395380173,0.717166735952321,108.76104829533,103.66861000703607,108.76104829533,103.66861000703607,122.76110088252688,99.2063062755602,120.09786872328553,97.29814727338989,0.9184192686745787,10.0,-0.01620839071478808,1392.0,1087.0,1108.8125,1.255397102756327,0.9803280536610112,0.0,0.875,2.3891055017017537,23,223,68.82575563758498
13,Illinois,B10,29-9,125.70179521406736,4,101.07120505281547,91,0.9247008877224855,13,29.0,9.0,14.0,6.0,14-6,0.7154672434285763,0.47116767084679156,0.8045285761971772,0.7154672434285763,0.47116767084679156,0.8045285761971772,0.664296238249532,0.8242715535539166,110.94263503281438,99.71066394328633,110.94263503281438,99.71066394328633,127.89291844266752,102.26503558783517,123.76604077943044,100.23028763627134,0.918759455879579,16.0,0.04927024454313089,1683.0,1533.0,1408.1875000000002,1.1951533442812123,1.088633438373796,0.0,0.7,5.556201123634725,8,72,69.70001891925197
14,Alabama,SEC,25-12,126.06481108569068,2,102.48482938034692,121,0.915400685898129,14,25.0,12.0,13.0,5.0,13-5,0.7718961261355848,0.6763758740034843,0.8088462825606795,0.7718961261355848,0.6763758740034843,0.8088462825606795,0.619171912511306,0.6990068492617423,114.64759822518832,100.12163581177214,114.64759822518832,100.12163581177214,123.93498924472968,103.12410881392545,123.47795453510325,105.78445280424,0.8555213567905473,17.0,0.02421621191578116,1609.0,1506.0,1360.7749999999999,1.1824144329518107,1.1067222722345724,0.0,0.7222222222222222,3.306408201465141,16,118,72.34665916079017
15,Saint Mary's,WCC,26-8,115.34944831911383,35,94.08274299434649,11,0.9124244122529265,15,26.0,8.0,15.0,1.0,15-1,0.5565977028358845,0.5770107827096727,0.49434609319081424,0.5565977028358845,0.5770107827096727,0.49434609319081424,0.8028861176029426,0.8061111266786433,107.92603901173266,104.22237687796175,107.92603901173266,104.22237687796175,120.72446827435013,95.44201354343629,110.4045454832383,93.58307121095207,0.8700013526868936,7.0,-0.05569806886107331,1247.0,935.0,1003.9875,1.2420473362467164,0.9312864951007856,0.0,0.9375,1.4232841737802704,35,294,62.45665766713139
16,St. John's,BE,20-13,120.09168984491006,13,98.5463272455562,44,0.9066906354234571,16,20.0,13.0,11.0,9.0,11-9,0.7078195533393551,0.5596231237388873,0.7707132058040895,0.7078195533393551,0.5596231237388873,0.7707132058040895,0.6700667838564089,0.8280772507389283,111.90376331817174,100.8660560759211,111.90376331817174,100.8660560759211,119.17036612943336,96.1259205488034,121.16322199927878,98.27070129584214,0.9174539050242888,14.0,-0.07619462088657147,1537.0,1434.0,1381.15,1.112840748651486,1.0382652137711328,0.0,0.55,0.47090392086909505,52,332,69.33628223057747
17,Baylor,B12,24-11,122.55171289015138,7,100.95822692705647,88,0.9028238261955257,17,24.0,11.0,11.0,7.0,11-7,0.7223239287104208,0.5214619678513831,0.8502698086830449,0.7223239287104208,0.5214619678513831,0.8502698086830449,0.6495677814243519,0.7740707090038433,111.3292524445019,99.19886480228377,111.3292524445019,99.19886480228377,122.17482216438586,101.17651925558239,119.46965406583453,101.42541605679625,0.867954748399453,17.0,0.030555283151637025,1369.0,1317.0,1213.4125000000001,1.128223089839605,1.0853687431108545,0.0,0.6111111111111112,4.472003243024876,12,102,65.84302018788298
18,Michigan St.,B10,20-15,113.32857028540124,55,93.4839705313508,9,0.901478833873726,18,20.0,15.0,10.0,10.0,10-10,0.7480236486967247,0.6008011742785938,0.802419354359942,0.7480236486967247,0.6008011742785938,0.802419354359942,0.6538408187652646,0.7574191227852288,113.61876476415296,100.93868144047278,113.61876476415296,100.93868144047278,112.95513210770339,96.52359313567936,116.38912478286287,97.88373879150498,0.8798832091600951,13.0,-0.08525393136257531,1397.0,1350.0,1299.75,1.0748220811694558,1.03866128101558,0.0,0.5,-0.190570705019534,56,344,65.36190945702468
19,Texas,B12,21-13,116.62225812442502,29,96.52636797540545,25,0.8979750823434721,19,21.0,13.0,9.0,9.0,9-9,0.6914865866095327,0.4646858481723953,0.8274872089018642,0.6914865866095327,0.4646858481723953,0.8274872089018642,0.6626819084914706,0.8237920360124887,110.77711411104984,100.36008165877425,110.77711411104984,100.36008165877425,119.88387237776391,99.83143432580047,116.21521641997775,97.36594089637546,0.8844358475439575,15.0,-0.04165430821237881,1346.0,1322.0,1219.525,1.1037084110616837,1.084028617699514,0.0,0.5,0.660316512252885,46,276,67.36116247143674
