Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Marist,5.96,33.48,77.93,20.62,2.75,34.82,34.61,1.1,0.9
North Dakota,5.96,36.24,85.46,15.86,2.91,39.38,39.38,0.0,0.0
Nicholls St,5.95,33.41,78.95,19.53,2.71,35.07,35.07,0.0,0.0
Detroit,5.95,32.43,81.3,16.21,2.75,37.98,37.79,0.49,0.51
Furman,5.95,35.24,84.53,15.78,2.83,35.24,35.43,0.34,0.66
Northwestern LA,5.93,34.06,79.46,19.68,2.75,35.88,35.58,0.69,0.31
Austin Peay,5.92,36.85,79.02,22.9,2.67,36.89,36.89,0.0,0.0
Robert Morris,5.92,33.56,77.97,20.67,2.82,36.6,36.6,0.0,0.0
W Illinois,5.91,36.03,86.13,14.97,2.84,34.83,34.83,0.0,0.0
Samford,5.89,35.61,84.74,15.95,2.81,37.69,37.69,0.0,0.0
La Salle,5.89,34.7,81.3,18.48,2.86,42.54,42.69,0.16,0.84
Hofstra,5.88,31.66,76.66,20.07,2.75,38.29,37.65,1.12,0.88
Manhattan,5.88,35.3,80.18,20.2,2.79,33.38,33.55,0.97,1.03
Missouri KC,5.87,35.27,83.76,16.58,2.84,38.87,38.87,0.0,0.0
Towson,5.86,38.24,82.39,20.92,2.83,37.72,37.89,0.89,1.11
Mt St Mary's,5.86,34.83,81.21,18.69,2.8,34.88,35.1,0.81,1.19
North Alabama,5.84,34.94,84.51,15.51,2.79,35.16,35.16,0.0,0.0
William & Mary,5.83,35.17,82.39,17.85,2.88,36.3,36.89,0.46,1.54
San Jose St,5.83,34.11,84.71,14.48,2.88,39.5,39.75,0.16,0.84
Grambling,5.82,34.02,83.18,15.91,2.76,34.49,33.89,1.44,0.56
Denver,5.82,36.17,83.31,17.94,2.83,38.65,38.65,0.0,0.0
Youngstown St,5.8,34.69,79.23,20.53,2.9,35.73,35.74,0.47,0.53
Cornell,5.8,35.18,76.19,24.06,2.67,40.91,41.48,0.02,0.98
Bryant,5.8,30.47,77.22,18.32,2.75,33.61,33.61,0.0,0.0
Binghamton,5.8,33.6,78.72,19.95,2.77,32.15,32.15,0.0,0.0
Southern Utah,5.8,35.06,81.55,18.59,2.93,39.83,39.49,0.63,0.37
Longwood,5.79,32.49,81.62,15.95,2.68,27.75,27.75,0.0,0.0
IUPUI,5.79,35.03,85.72,14.39,2.9,39.44,39.09,0.67,0.33
TX Southern,5.75,30.49,83.05,12.51,2.86,34.87,34.6,0.59,0.41
Boston Univ,5.74,33.94,80.97,18.05,2.81,35.53,35.62,0.38,0.62
MD E Shore,5.73,32.57,78.51,19.14,2.64,34.82,34.29,0.86,0.14
WI Milwaukee,5.72,35.64,81.62,19.09,2.76,39.02,38.91,0.51,0.49
Mercer,5.71,33.81,78.59,20.29,2.76,39.18,39.18,0.0,0.0
Akron,5.71,33.82,82.07,16.82,2.82,37.62,37.38,0.99,1.01
W Carolina,5.69,31.09,82.96,13.2,2.71,34.11,34.11,0.0,0.0
UNC Wilmington,5.69,29.65,80.74,13.98,2.8,35.23,35.22,0.72,1.28
Oakland,5.67,31.93,81.81,15.19,2.79,40.0,39.93,0.33,0.67
UMBC,5.66,29.49,76.7,17.86,2.79,32.55,32.55,0.0,0.0
Wright St,5.64,32.86,84.48,13.46,2.78,37.43,37.24,0.53,0.47
Merrimack,5.63,29.17,78.17,16.07,2.81,35.18,35.03,0.45,0.55
Ohio,5.61,31.87,81.49,15.46,2.98,40.61,40.75,0.49,1.51
Charleston So,5.59,27.21,76.35,15.94,2.76,34.02,33.76,0.52,0.48
West Georgia,5.58,28.43,81.68,11.82,2.73,33.45,33.45,0.0,0.0
Indiana St,5.57,34.19,85.69,13.57,2.76,42.66,43.09,0.27,1.73
Loyola MD,5.56,31.54,76.61,20.0,2.76,35.31,34.93,0.7,0.3
Tennessee St,5.55,29.56,82.11,12.52,2.77,36.29,36.29,0.0,0.0
St Bonaventure,5.55,29.38,77.17,17.28,2.98,41.96,41.96,0.0,0.0
Radford,5.55,30.06,78.8,16.34,2.87,31.82,31.74,0.52,0.48
CS Fullerton,5.54,32.55,79.67,17.96,2.7,36.72,36.83,0.67,1.33
St Peter's,5.54,28.02,73.11,19.98,2.81,35.71,35.31,0.87,1.13
Dartmouth,5.52,29.28,74.99,19.37,2.69,36.91,37.43,0.02,0.98
Iona,5.51,30.2,76.86,18.41,2.79,34.28,34.27,0.39,0.61
S Illinois,5.5,32.48,81.11,16.44,2.91,41.9,41.74,0.63,1.37
Alcorn St,5.5,28.05,76.89,16.24,2.86,33.85,33.32,1.09,0.91
Portland St,5.5,30.9,78.58,17.39,2.87,42.37,42.37,0.0,0.0
NJIT,5.5,30.55,81.45,14.18,2.78,32.76,32.76,0.0,0.0
Yale,5.5,32.33,80.23,17.18,2.8,41.87,41.68,0.37,0.63
New Hampshire,5.5,28.6,73.4,20.27,2.8,35.0,35.0,0.0,0.0
Evansville,5.47,29.07,81.31,12.83,2.96,38.71,39.31,0.15,1.85
Utah St,5.47,31.59,85.98,10.69,2.88,42.46,42.62,0.13,0.87
Lafayette,5.46,28.43,76.86,16.64,2.79,36.92,36.87,0.3,0.7
Florida A&M,5.45,30.29,80.85,14.51,2.69,34.1,34.05,0.43,0.57
South Alabama,5.45,29.88,81.59,13.37,2.89,38.85,39.0,0.17,0.83
Morehead St,5.44,29.12,81.88,12.31,2.74,33.47,33.47,0.0,0.0
Winthrop,5.43,26.66,74.61,17.12,2.74,28.79,28.74,0.48,0.52
Gardner Webb,5.42,29.48,84.04,10.52,2.8,31.29,31.25,0.48,0.52
