Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Rhode Island,6.72,48.94,84.99,29.02,2.73,43.21,43.21,0.0,0.0
Lehigh,6.69,43.09,87.55,20.62,2.71,34.96,35.25,0.5,0.5
Lamar,6.67,44.4,85.07,24.4,2.6,36.62,36.69,0.66,0.34
Col Charleston,6.67,45.24,89.86,20.46,2.67,35.24,35.19,1.52,0.48
New Mexico,6.66,45.52,91.02,19.58,2.67,42.87,42.77,0.66,0.34
UC Irvine,6.63,44.37,82.49,26.95,2.64,39.01,38.95,1.35,0.65
Boise St,6.62,44.97,89.17,20.88,2.97,43.63,43.21,0.87,0.13
SUNY Albany,6.61,41.66,81.71,25.03,2.69,33.76,33.76,0.0,0.0
UNC Greensboro,6.61,41.82,81.78,25.11,2.72,34.98,34.98,0.0,0.0
Bowling Green,6.61,44.93,91.45,18.55,2.82,42.46,42.27,1.28,0.72
Pacific,6.58,44.95,89.79,20.24,2.83,46.32,46.32,0.0,0.0
St Mary's CA,6.58,43.78,85.95,22.9,2.77,45.51,45.51,0.0,0.0
Dayton,6.57,43.21,86.81,21.47,2.65,42.03,42.03,0.0,0.0
Santa Clara,6.57,44.77,87.06,22.78,2.69,44.92,44.92,0.0,0.0
New Mexico St,6.55,42.89,85.27,22.7,2.78,44.28,43.75,1.38,0.62
Idaho,6.55,43.72,84.97,23.82,2.68,39.49,39.49,0.0,0.0
Miami OH,6.54,41.41,83.01,23.48,2.76,39.24,38.88,1.41,0.59
UC Davis,6.53,44.36,85.02,24.41,2.71,37.61,38.11,0.98,1.02
Old Dominion,6.53,44.21,87.13,22.15,2.73,41.4,41.4,0.0,0.0
Arkansas St,6.51,41.92,88.73,18.26,2.83,39.12,39.12,0.0,0.0
Massachusetts,6.5,44.46,85.82,23.71,2.62,40.26,40.26,0.0,0.0
UAB,6.5,42.77,89.33,18.52,2.74,42.67,42.74,0.45,0.55
Abilene Chr,6.49,43.1,87.47,20.7,2.75,37.89,38.56,0.76,1.24
Penn,6.48,43.28,86.5,21.86,2.73,39.97,40.54,0.18,0.82
Fresno St,6.47,41.53,84.95,21.65,2.78,41.34,41.63,0.26,0.74
Air Force,6.47,42.71,85.87,21.92,2.76,39.94,40.23,0.34,0.66
Houston,6.47,47.05,87.27,24.86,2.95,52.87,52.87,0.0,0.0
NC A&T,6.46,42.73,82.93,24.87,2.65,37.63,37.04,1.71,0.29
VCU,6.45,45.48,82.16,28.4,2.66,43.15,42.83,0.84,0.16
Cent Arkansas,6.44,39.83,83.19,21.71,2.81,36.07,36.07,0.0,0.0
St Louis,6.44,42.86,89.87,18.06,2.77,44.87,44.87,0.0,0.0
IL Chicago,6.42,42.79,84.66,23.2,2.57,43.46,44.0,0.54,1.46
Fordham,6.41,42.42,83.84,23.65,2.8,40.82,40.82,0.0,0.0
Vermont,6.41,42.87,81.04,26.9,2.65,37.42,37.42,0.0,0.0
Loy Marymount,6.4,39.9,83.3,21.67,2.66,44.18,44.18,0.0,0.0
Louisiana Tech,6.4,42.62,86.43,21.26,2.78,40.49,40.73,0.92,1.08
UT Arlington,6.39,41.97,90.21,16.83,2.8,40.24,40.18,0.59,0.41
Drexel,6.38,40.65,80.32,25.4,2.79,37.81,38.05,0.97,1.03
Holy Cross,6.36,41.0,81.76,24.32,2.59,36.47,36.36,0.72,0.28
Campbell,6.36,39.86,81.77,23.17,2.68,36.96,36.97,1.15,0.85
Army,6.36,36.97,81.36,20.68,2.61,33.89,34.28,0.28,0.72
Wichita St,6.35,42.3,85.89,21.49,2.8,46.16,46.14,0.41,0.59
Colgate,6.35,40.45,84.44,21.09,2.54,32.67,32.94,0.5,0.5
E Illinois,6.35,39.55,81.64,22.98,2.79,38.37,38.37,0.0,0.0
Tarleton St,6.34,39.49,82.02,22.54,2.66,37.86,37.98,0.99,1.01
Montana,6.33,42.31,88.85,18.54,2.85,42.92,42.92,0.0,0.0
