Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Florida A&M,0.464,6.44,21.1,84.64,13.21,2.91,24.92,24.99,0.33,0.67
W Carolina,0.276,6.44,24.18,88.0,12.93,2.92,28.41,28.39,0.39,0.61
Stony Brook,0.258,6.43,23.92,85.5,15.18,2.93,28.9,28.9,0.0,0.0
UMBC,0.419,6.43,23.59,92.68,7.67,2.78,23.72,23.72,0.0,0.0
Lehigh,0.379,6.43,23.58,85.52,14.81,2.73,25.03,25.0,0.48,0.52
NC Central,0.433,6.43,23.83,88.61,11.98,2.97,22.69,22.9,0.34,0.66
Utah Tech,0.207,6.43,24.72,87.86,13.62,2.93,30.31,30.65,0.41,1.59
San Diego,0.161,6.42,25.81,89.12,13.45,2.9,31.98,31.98,0.0,0.0
Lafayette,0.387,6.42,23.5,83.06,17.2,2.72,24.59,24.34,0.72,0.28
E Illinois,0.387,6.41,22.27,81.63,17.4,2.84,25.22,25.22,0.0,0.0
Lindenwood,0.484,6.41,19.8,84.15,12.4,2.86,23.77,23.88,0.27,0.73
Detroit,0.258,6.41,22.5,84.82,14.44,3.01,29.46,29.58,0.2,0.8
Holy Cross,0.419,6.39,20.05,83.93,12.87,2.73,25.1,25.17,0.28,0.72
Buffalo,0.31,6.39,21.93,87.22,11.47,2.81,27.76,28.06,0.42,1.58
Niagara,0.345,6.37,22.89,84.08,15.56,2.89,25.2,25.45,0.62,1.38
Alcorn St,0.31,6.36,22.22,83.35,15.62,2.88,27.64,26.61,1.57,0.43
St Francis PA,0.433,6.36,21.25,85.83,12.17,2.94,23.44,23.44,0.0,0.0
CS Fullerton,0.2,6.35,22.4,83.93,15.22,2.84,30.93,30.84,0.59,1.41
W Illinois,0.387,6.34,21.87,83.4,15.23,2.83,23.58,23.58,0.0,0.0
Wagner,0.483,6.34,21.99,77.19,21.56,2.84,20.45,20.45,0.0,0.0
Stonehill,0.484,6.34,19.25,82.12,13.88,2.89,22.72,22.83,0.3,0.7
Howard,0.4,6.34,22.41,89.16,10.0,2.86,23.2,23.3,0.39,0.61
Loyola MD,0.379,6.33,21.22,83.24,14.74,2.81,24.57,24.44,0.52,0.48
F Dickinson,0.387,6.33,22.52,88.23,11.05,2.8,23.53,23.29,0.7,0.3
CS Sacramento,0.226,6.32,23.58,82.25,18.09,2.92,27.47,27.47,0.0,0.0
Mercyhurst,0.484,6.3,18.32,80.75,14.32,3.01,22.48,22.48,0.0,0.0
Southern Indiana,0.333,6.3,21.52,85.18,13.09,2.84,24.85,24.85,0.0,0.0
NC A&T,0.226,6.29,21.62,85.25,13.13,2.91,28.94,28.94,0.0,0.0
IUPUI,0.323,6.28,20.2,85.64,11.32,2.86,26.02,26.24,0.15,0.85
Morgan St,0.448,6.26,20.0,89.83,6.92,2.91,21.76,21.62,0.57,0.43
ULM,0.226,6.24,21.45,84.99,13.21,2.99,27.76,27.76,0.32,0.68
Grambling,0.31,6.24,22.63,82.12,17.27,2.73,23.83,23.38,1.35,0.65
Cent Arkansas,0.273,6.23,20.13,85.48,11.4,3.04,26.81,26.81,0.0,0.0
Stetson,0.25,6.23,22.11,87.95,10.91,2.9,26.59,26.59,0.0,0.0
SC Upstate,0.194,6.2,22.02,88.84,9.93,2.9,28.05,28.03,0.34,0.66
New Hampshire,0.267,6.15,20.04,83.51,13.28,2.97,25.43,25.69,0.13,0.87
WI Green Bay,0.129,6.15,22.32,86.5,12.58,2.87,30.02,30.15,0.18,0.82
East Texas A&M,0.161,6.15,20.97,83.59,14.14,2.84,29.45,29.45,0.0,0.0
N Illinois,0.172,6.11,21.96,86.05,12.66,2.86,26.72,26.78,0.67,1.33
Bellarmine,0.161,6.09,22.12,87.07,11.81,2.87,26.84,26.84,0.0,0.0
West Georgia,0.194,6.06,17.38,83.64,10.5,2.75,28.48,28.48,0.0,0.0
Alabama A&M,0.345,6.0,18.3,85.81,9.25,3.02,20.67,21.16,0.42,1.58
Le Moyne,0.29,6.0,17.83,87.53,7.05,2.9,23.08,23.31,0.15,0.85
New Orleans,0.129,6.0,19.16,87.2,8.72,2.97,29.71,29.71,0.0,0.0
Citadel,0.172,6.0,20.07,82.97,13.85,2.81,25.66,25.66,0.0,0.0
NJIT,0.167,5.96,18.48,81.41,13.83,2.8,26.89,26.87,0.27,0.73
Canisius,0.103,5.92,19.66,84.69,11.73,2.9,28.36,28.43,0.45,1.55
Chicago St,0.129,5.85,17.3,81.9,12.15,2.94,28.1,28.1,0.0,0.0
Prairie View,0.167,5.84,17.64,85.72,8.68,2.87,25.34,25.23,0.37,0.63
Coppin St,0.179,5.83,14.88,78.9,12.74,2.9,26.8,26.41,0.43,0.57
MD E Shore,0.207,5.76,15.63,80.07,12.32,2.87,22.95,23.03,0.23,0.77
Ark Pine Bluff,0.207,5.67,14.36,86.19,4.93,2.84,22.27,22.18,0.62,1.38
MS Valley St,0.103,5.06,5.26,73.15,8.87,2.99,23.23,23.27,0.16,1.84
