Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Appalachian St,0.567,7.16,31.97,85.56,23.17,2.72,28.64,28.64,0.0,0.0
San Jose St,0.433,7.16,31.03,90.67,17.11,2.86,33.67,33.79,0.75,1.25
Ohio,0.552,7.15,32.81,93.33,16.24,2.93,28.82,28.74,1.3,0.7
PFW,0.613,7.15,31.31,93.88,14.18,2.84,27.66,27.66,0.0,0.0
UNC Asheville,0.667,7.15,29.93,93.22,13.47,2.89,26.56,26.42,0.73,0.27
Radford,0.613,7.15,30.01,87.24,19.52,2.72,28.48,28.48,0.0,0.0
Toledo,0.552,7.13,30.98,94.46,13.27,2.86,29.8,29.89,0.98,1.02
Bryant,0.633,7.12,30.69,94.27,13.18,2.87,26.89,26.59,0.87,0.13
Cal Baptist,0.5,7.12,30.68,88.08,19.36,2.89,31.11,30.68,1.37,0.63
S Illinois,0.438,7.12,32.49,90.67,18.58,2.98,31.42,31.42,0.0,0.0
Miami FL,0.207,7.11,35.3,95.69,16.36,2.86,37.5,37.55,0.82,1.18
NE Omaha,0.613,7.11,28.71,91.29,14.17,2.93,28.82,28.82,0.0,0.0
Wofford,0.516,7.11,31.43,90.0,18.18,2.83,29.58,29.66,0.47,0.53
Nicholls St,0.613,7.09,29.84,90.63,15.97,2.81,27.34,27.34,0.0,0.0
Youngstown St,0.613,7.09,30.49,91.15,16.09,2.76,26.97,26.97,0.0,0.0
Vermont,0.633,7.08,30.63,83.93,23.46,2.88,25.82,25.64,0.8,0.2
Massachusetts,0.414,7.08,32.13,93.17,15.71,2.94,31.96,32.22,0.77,1.23
Portland St,0.613,7.08,29.26,88.21,17.8,2.81,27.06,27.06,0.0,0.0
Central Conn,0.793,7.08,27.33,84.92,19.16,2.74,22.37,22.11,0.85,0.15
Jacksonville,0.613,7.07,28.3,86.24,18.82,2.86,27.95,28.16,0.31,0.69
FGCU,0.563,7.06,29.63,87.91,18.48,2.83,28.57,28.57,0.0,0.0
Texas St,0.516,7.06,30.4,91.0,16.16,2.78,29.16,29.16,0.0,0.0
Northeastern,0.548,7.06,29.07,87.64,18.19,2.9,29.33,29.17,0.65,0.35
UC Davis,0.517,7.05,29.63,86.29,20.1,2.83,29.66,30.12,0.57,1.43
Drexel,0.548,7.05,31.21,86.18,21.79,2.92,27.58,27.58,0.61,0.39
Hawaii,0.517,7.05,30.06,87.62,19.2,2.89,29.2,29.43,0.83,1.17
Norfolk St,0.667,7.04,28.8,89.13,16.42,2.86,25.11,25.11,0.61,0.39
Seattle,0.393,7.04,33.15,88.5,21.41,2.98,30.74,30.57,1.3,0.7
E Kentucky,0.563,7.04,29.53,92.61,13.67,2.94,28.09,28.09,0.0,0.0
Sam Houston St,0.379,7.03,31.67,91.6,16.83,2.88,32.03,31.82,1.17,0.83
Marist,0.741,7.03,25.99,81.85,20.9,2.75,24.45,24.61,0.95,1.05
Oakland,0.452,7.02,30.18,89.36,17.57,2.75,30.9,30.53,0.82,0.18
TAM C. Christi,0.594,7.01,30.42,89.29,17.89,2.82,25.62,25.62,0.0,0.0
Rice,0.433,7.0,30.26,89.3,17.71,2.88,30.84,30.92,0.41,0.59
Quinnipiac,0.621,7.0,28.64,90.36,15.04,2.82,26.28,26.12,1.29,0.71
La Salle,0.414,6.99,29.08,89.01,16.83,2.88,32.12,32.53,0.46,1.54
Hofstra,0.452,6.99,31.64,86.11,22.29,2.74,29.0,29.0,0.0,0.0
Abilene Chr,0.517,6.99,29.2,87.66,18.3,2.93,28.6,28.92,0.73,1.27
Lamar,0.613,6.99,28.03,86.03,18.76,2.82,26.29,26.29,0.0,0.0
Fordham,0.379,6.98,30.08,92.1,14.73,2.77,32.39,32.41,0.85,1.15
Longwood,0.581,6.98,29.13,90.09,15.79,2.81,26.32,26.48,0.44,0.56
Elon,0.548,6.98,28.11,87.86,17.0,2.84,28.14,28.25,0.39,0.61
Montana St,0.452,6.98,30.25,88.92,18.08,2.8,29.89,29.89,0.0,0.0
Brown,0.538,6.97,29.11,88.21,17.65,2.78,28.12,28.42,0.28,0.72
Queens NC,0.594,6.97,27.49,91.12,13.12,2.74,27.19,27.19,0.0,0.0
N Kentucky,0.516,6.97,28.99,87.83,17.92,2.84,28.39,28.09,0.8,0.2
Richmond,0.333,6.97,31.81,87.61,20.95,2.92,32.13,32.23,0.39,0.61
Southern Univ,0.655,6.96,27.2,86.94,17.01,3.02,25.11,24.58,1.6,0.4
William & Mary,0.548,6.96,26.66,90.28,13.14,2.93,28.6,28.6,0.0,0.0
UT Arlington,0.448,6.95,29.76,91.61,14.91,2.83,29.54,29.68,0.37,0.63
Idaho St,0.517,6.95,29.06,88.2,17.61,2.82,27.92,27.92,0.0,0.0
Valparaiso,0.419,6.94,28.68,90.48,14.95,2.93,30.92,30.92,0.0,0.0
Merrimack,0.533,6.94,27.89,83.16,21.49,2.7,28.38,28.4,0.46,0.54
SE Louisiana,0.581,6.94,27.72,88.1,16.38,2.77,26.62,26.62,0.0,0.0
UT San Antonio,0.393,6.94,29.24,93.48,12.51,3.0,31.58,31.95,0.54,1.46
South Dakota,0.581,6.93,27.1,96.04,7.81,3.06,27.01,27.14,0.38,0.62
Dartmouth,0.538,6.93,28.19,88.45,16.5,2.93,27.48,27.59,0.44,0.56
Missouri St,0.29,6.93,32.13,88.03,20.85,2.91,32.43,32.43,0.0,0.0
Charlotte,0.345,6.92,30.31,88.27,18.8,2.98,31.74,31.94,0.75,1.25
SE Missouri St,0.645,6.92,26.94,87.75,15.94,2.82,24.53,24.53,0.0,0.0
Evansville,0.355,6.91,27.98,85.57,19.16,3.05,32.94,32.94,0.0,0.0
Wright St,0.452,6.91,30.39,94.02,13.13,2.82,28.23,27.91,0.85,0.15
Ga Southern,0.516,6.9,26.88,90.43,13.2,2.89,28.65,28.65,0.0,0.0
Tarleton St,0.414,6.88,27.23,83.61,20.37,2.9,30.84,31.03,0.61,1.39
Campbell,0.484,6.88,28.26,85.88,19.14,2.75,28.03,28.03,0.0,0.0
SIUE,0.645,6.87,26.65,85.89,17.51,2.81,23.74,23.74,0.0,0.0
Mt St Mary's,0.621,6.87,25.33,86.68,15.41,2.79,25.78,25.88,0.88,1.12
Pepperdine,0.323,6.87,29.58,92.16,14.18,2.93,32.55,32.55,0.0,0.0
Ark Little Rock,0.581,6.85,27.49,86.1,18.15,2.91,25.04,25.04,0.0,0.0
Cal Poly,0.4,6.85,26.26,93.05,9.96,2.85,31.8,31.32,1.1,0.9
Northern Arizona,0.548,6.85,27.16,88.84,15.08,2.83,25.73,25.73,0.0,0.0
CS Bakersfield,0.419,6.85,27.84,88.21,16.39,2.96,29.36,29.29,0.53,0.47
Tulsa,0.379,6.84,28.8,88.67,16.89,3.13,29.88,30.2,0.64,1.36
Bucknell,0.548,6.84,26.76,88.57,14.94,2.82,26.69,26.69,0.0,0.0
American Univ,0.613,6.83,24.84,83.39,18.2,2.86,25.33,25.33,0.0,0.0
