Year,School ,Conference  ,Host Region,"Place (1st, 2nt, 3rd)"
1979,DePaul,Independent,West,3
1979,Indiana State,Missouri Valley,MidWest,2
1979,Michigan State,Big Ten,MidEast,1
1979,Pennsylvania,Ivy,East,3
1980,Iowa,Big Ten,East,3
1980,Louisville,Metro,MidWest,1
1980,Purdue,Big Ten,MidEast,3
1980,UCLA*,Pacific-10,West,2
1981,Indiana,Big Ten,MidEast,1
1981,LSU,Southeastern,MidWest,3
1981,North Carolina,Atlantic Coast,West,2
1981,Virginia,Atlantic Coast,East,3
1982,Georgetown,Big East,West,2
1982,Houston,Southwest,MidWest,3
1982,Louisville,Metro,MidEast,3
1982,North Carolina,Atlantic Coast,East,1
1983,Georgia,Southeastern,East,3
1983,Houston,Southwest,MidWest,2
1983,Louisville,Metro,MidEast,3
1983,NC State,Atlantic Coast,West,1
1984,Georgetown,Big East,West,1
1984,Houston,Southwest,MidWest,2
1984,Kentucky,Southeastern,MidEast,3
1984,Virginia,Atlantic Coast,East,3
1985,Georgetown,Big East,East,2
1985,Memphis State*,Metro,MidWest,3
1985,St. John's,Big East,West,3
1985,Villanova,Big East,SouthEast,1
1986,Duke,Atlantic Coast,East,2
1986,Kansas,Big Eight,MidWest,3
1986,Louisville,Metro,West,1
1986,LSU,Southeastern,SouthEast,3
1987,Indiana,Big Ten,MidWest,1
1987,Providence,Big East,SouthEast,3
1987,Syracuse,Big East,East,2
1987,UNLV,Big West,West,3
1988,Arizona,Pacific-10,West,3
1988,Duke,Atlantic Coast,East,3
1988,Kansas,Big Eight,MidWest,1
1988,Oklahoma,Big Eight,SouthEast,2
1989,Duke,Atlantic Coast,East,3
1989,Illinois,Big Ten,MidWest,3
1989,Michigan,Big Ten,SouthEast,1
1989,Seton Hall,Big East,West,2
1990,Arkansas,Southwest,MidWest,3
1990,Duke,Atlantic Coast,East,2
1990,Georgia Tech,Atlantic Coast,SouthEast,3
1990,UNLV,Big West,West,1
1991,Duke,Atlantic Coast,MidWest,1
1991,Kansas,Big Eight,SouthEast,2
1991,North Carolina,Atlantic Coast,East,3
1991,UNLV,Big West,West,3
1992,Cincinnati,Great Midwest,MidWest,3
1992,Duke,Atlantic Coast,East,1
1992,Indiana,Big Ten,West,3
1992,Michigan*,Big Ten,SouthEast,2
1993,Kansas,Big Eight,MidWest,3
1993,Kentucky,Southeastern,SouthEast,3
1993,Michigan*,Big Ten,West,2
1993,North Carolina,Atlantic Coast,East,1
1994,Arizona,Pacific-10,West,3
1994,Arkansas,Southeastern,MidWest,1
1994,Duke,Atlantic Coast,SouthEast,2
1994,Florida,Southeastern,East,3
1995,Arkansas,Southeastern,MidWest,2
1995,North Carolina,Atlantic Coast,SouthEast,3
1995,Oklahoma State,Big Eight,East,3
1995,UCLA,Pacific-10,West,1
1996,Kentucky,Southeastern,MidWest,1
1996,Massachusetts*,Atlantic 10,East,3
1996,Mississippi State,Southeastern,SouthEast,3
1996,Syracuse,Big East,West,2
1997,Arizona,Pacific-10,SouthEast,1
1997,Kentucky,Southeastern,West,2
1997,Minnesota*,Big Ten,MidWest,3
1997,North Carolina,Atlantic Coast,East,3
1998,Kentucky,Southeastern,South,1
1998,North Carolina,Atlantic Coast,East,3
