rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
88,Wichita St.,Amer,15-13,103.86844386506596,149,95.53651634943964,47,0.7234401960359019,88,15,13,6,9,6-9,0.63873118826262,0.5664391865366277,0.7042551698246783,0.63873118826262,0.5664391865366277,0.7042551698246783,0.7564313685432966,0.8118956852772455,105.16560092658857,98.31520304187104,105.16560092658857,98.31520304187104,105.97861325423013,97.5844322360335,113.71725834043573,104.03230455434006,0.7356844467436292,7,-0.022741022368309993,1022.0,1044.0,1021.7625,1.0002324414920296,1.0217638639116233,0,0.4,-3.5851261939843253,108,222,67.13059570423931
89,St. Bonaventure,A10,23-10,107.3381542576353,80,98.73334800869617,114,0.7233132133169,89,23,10,12,5,12-5,0.6202586307632787,0.5534466070847489,0.6024071640408869,0.6202586307632787,0.5534466070847489,0.6024071640408869,0.7726901868032018,0.8047093064522407,104.31968917031982,99.06113912759055,104.31968917031982,99.06113912759055,107.63502839319462,98.06684803852356,112.949846496778,109.14937524147093,0.5971502359253175,9,0.13481982908380374,1191.0,1112.0,1132.2125,1.0519226735263918,0.9821477858617529,0,0.7058823529411765,-0.5109584384608814,67,7,65.46381246376961
90,Iona,MAAC,25-8,106.89985146267233,87,98.56416646039325,110,0.7178098461181359,90,25,8,17,3,17-3,0.4798845704072887,0.6073433774749245,0.3963758626484036,0.4798845704072887,0.6073433774749245,0.3963758626484036,0.860566509083895,0.7806895017077905,101.47374351930716,101.6931592696483,101.47374351930716,101.6931592696483,106.89890412647853,98.12155323333711,123.15735910814385,108.27952587505813,0.8146613980040696,4,0.06279387275234594,1505.0,1332.0,1402.5375,1.0730550876536278,0.94970722707949,0,0.85,-0.6997246992682158,69,52,69.35906073983953
91,Belmont,OVC,25-8,106.60706089414356,90,98.35733902514932,103,0.7163117813448826,91,25,8,15,3,15-3,0.4655187536681031,0.5731347175300706,0.3578509449915899,0.4655187536681031,0.5731347175300706,0.3578509449915899,0.8501878213110664,0.7940465513315114,101.35406795298125,102.42127604851399,101.35406795298125,102.42127604851399,107.19583632502231,100.21909087917896,97.69813750984319,99.3273414914338,0.45259496911260366,5,0.07567331474097416,1414.0,1196.0,1264.3749999999998,1.118339100346021,0.9459218981710333,0,0.8333333333333334,-0.23546341853084318,65,35,69.03505179461318
92,Grand Canyon,WAC,23-8,104.08166808949282,141,96.12023098236747,57,0.7140476569152148,92,23,8,12,5,12-5,0.4252403994827423,0.3329030096434948,0.4612462696657661,0.4252403994827423,0.3329030096434948,0.4612462696657661,0.8833660615738593,0.8961957256695859,99.60706686401589,101.954411217908,99.60706686401589,101.954411217908,104.12511753065964,94.58302376213182,86.55963100240105,71.53104613511267,0.8996257215301943,1,0.013700555768738742,1196.0,1063.0,1153.8,1.0365747963251863,0.921303518807419,0,0.7058823529411765,-2.3747993674205263,89,146,65.59635590606644
93,Richmond,A10,24-13,106.94733670516248,85,99.05589080500474,117,0.707133234519951,93,24,13,10,8,10-8,0.6309196314705028,0.5803970924277122,0.609530055056509,0.6309196314705028,0.5803970924277122,0.609530055056509,0.7886559715369512,0.8216602101798085,105.06317549367311,99.65957710130961,105.06317549367311,99.65957710130961,107.29353868219407,101.03686418569023,102.3326538054157,97.36277164613382,0.6393459186440984,6,0.09878187804880756,1263.0,1239.0,1214.5624999999998,1.0398806154479496,1.0201204137292237,0,0.5555555555555556,-1.646477419475284,81,17,66.68887366656357
94,Northern Iowa,MVC,20-12,110.21074989650745,42,102.13415470223853,175,0.7058334855612067,94,20,12,14,4,14-4,0.5756827305329303,0.5422539870209666,0.5597489802722451,0.5756827305329303,0.5422539870209666,0.5597489802722451,0.8040229861649392,0.813457635964804,103.97840562653516,99.96693956658386,103.97840562653516,99.96693956658386,113.69390844994368,103.53988568832915,108.03425360189098,104.80740068718202,0.5863084725893494,4,0.03659616935237364,1395.0,1297.0,1244.0500000000002,1.1213375668180539,1.0425625979663196,0,0.7777777777777778,-2.918248537298886,97,92,67.33746787920641
95,Penn St.,B10,14-17,104.00915696461595,144,96.44936665906314,66,0.7042874796482322,95,14,17,7,13,7-13,0.7222751957221285,0.4807741303345804,0.8056703763566618,0.7222751957221285,0.4807741303345804,0.8056703763566618,0.690826946879183,0.8676765092063377,109.5108399125695,99.04667628635691,109.5108399125695,99.04667628635691,103.85251231020004,97.07684999761862,120.34825666992428,111.41206515773048,0.7083268058351132,14,0.011160198392677623,1266.0,1324.0,1269.825,0.9969877739058531,1.0426633591242886,0,0.35,-3.866645887385428,115,152,61.87411323024639
96,Cincinnati,Amer,18-15,104.4344667562125,134,96.86426298114655,76,0.7037802983563546,96,18,15,7,11,7-11,0.5703460129028856,0.3904492287696587,0.682394987091895,0.5703460129028856,0.3904492287696587,0.682394987091895,0.7687466356891285,0.8646106240216771,103.75871274749859,98.92110135447646,103.75871274749859,98.92110135447646,105.10260420020164,98.14168824732944,117.35440243975317,106.35462124614592,0.7561752803328811,9,-0.032651519935426365,1239.0,1264.0,1250.4375,0.9908532013795172,1.0108462038286599,0,0.3888888888888889,-4.621911670718299,127,247,67.6502578948142
97,UCF,Amer,18-12,106.30145366042592,97,98.73194236488433,113,0.7004643451726755,97,18,12,9,9,9-9,0.6081675493092047,0.47619718765828123,0.6796545950870763,0.6081675493092047,0.47619718765828123,0.6796545950870763,0.746550473756206,0.8024533182802486,103.86345214069435,98.22768531529817,103.86345214069435,98.22768531529817,104.63262852467508,97.425251465941,123.9106502394303,112.60340576594122,0.7503389775121854,11,0.05977878732405839,1210.0,1245.0,1232.075,0.9820830712416045,1.0104904328064443,0,0.5,-1.6982780954860748,84,58,67.47241956556104
98,Middle Tennessee,CUSA,26-11,105.7735988101554,104,98.25055092065449,98,0.700246312611761,98,26,11,13,5,13-5,0.45536037978760974,0.41479842512265014,0.45636292441588666,0.45536037978760974,0.41479842512265014,0.45636292441588666,0.8675274232105363,0.8632616309665929,102.27618084470417,103.03836234658544,102.27618084470417,103.03836234658544,105.48220596581476,98.37829494807181,112.59672296753718,108.1411609840169,0.6140372447391975,3,0.01200838587865849,1290.0,1186.0,1207.35,1.0684557087836999,0.9823166438895101,0,0.7222222222222222,-3.185073992787247,101,150,67.0913161957034
99,Toledo,MAC,26-8,109.23862095124315,53,101.77043711889755,169,0.6930405037485747,99,26,8,17,3,17-3,0.4226897319378068,0.5119574568724654,0.3588042691726153,0.4226897319378068,0.5119574568724654,0.3588042691726153,0.892437357754395,0.8386424758172791,101.94690502596478,104.60730017833075,101.94690502596478,104.60730017833075,111.96813652746398,100.61528814337325,94.85683093913134,99.17344662923588,0.37477908651230696,1,0.04346146824317487,1669.0,1365.0,1411.7375000000004,1.1822311159121293,0.9668936328460493,0,0.85,-1.5682649044717318,79,81,68.90114708358949
100,Mississippi,SEC,13-19,106.00408623883777,99,99.0597421057438,118,0.6855027048286866,100,13,19,4,14,4-14,0.6679799762369204,0.5131024129086573,0.7871330287850177,0.6679799762369204,0.5131024129086573,0.7871330287850177,0.7297422772740496,0.854324553489689,105.8330457441062,98.23374779412356,105.8330457441062,98.23374779412356,109.09652507100981,101.8531495011461,121.85520365958074,111.59183180222406,0.7333790561774365,13,-0.07934302273471344,1208.0,1308.0,1202.1000000000001,1.0049080775309873,1.0880958322934862,0,0.2222222222222222,-7.118713501614568,176,322,65.40936781251476
101,Louisiana Tech,CUSA,24-10,104.44722993245301,133,97.66130051602633,88,0.684068103436357,101,24,10,12,6,12-6,0.4564570338477706,0.3870677060182817,0.4617307519553153,0.4564570338477706,0.3870677060182817,0.4617307519553153,0.8525077334203255,0.8496087018308384,102.67539487666919,102.4823629653317,102.67539487666919,102.4823629653317,105.31332872523808,99.18621981713416,112.23206010797506,110.45576362356577,0.5457383229893596,4,0.03834447793659812,1339.0,1224.0,1247.4,1.0734327400994066,0.9812409812409811,0,0.6666666666666666,-2.5686982175674338,95,90,68.37922746584435
102,Bradley,MVC,17-14,102.8173198029568,166,96.14995039297959,58,0.683740618373828,102,17,14,11,7,11-7,0.5181592063768945,0.42498686128966723,0.5621739145164233,0.5181592063768945,0.42498686128966723,0.5621739145164233,0.8376755537437974,0.875265051258964,103.14145082258537,101.78087528228154,103.14145082258537,101.78087528228154,106.33169658457528,95.23196039883695,94.30985629848988,92.19694129698179,0.5647777864426032,3,-0.07565174553250231,1269.0,1162.0,1202.95,1.054906687726007,0.9659586848996218,0,0.6111111111111112,-6.431033723212147,162,317,67.32904824937815
103,Florida St.,ACC,17-14,105.16453516669104,118,98.362293890122,104,0.6833020991560147,103,17,14,10,10,10-10,0.6936915740001541,0.5228932917368959,0.7724211437248321,0.6936915740001541,0.5228932917368959,0.7724211437248321,0.7073539533428493,0.8160037424281835,109.34274508733401,99.92644524136551,109.34274508733401,99.92644524136551,105.96960558485382,99.07909784798505,111.24409233977671,106.66958361951542,0.618430966657862,12,0.09669953658626923,1377.0,1464.0,1361.475,1.0114030738720874,1.0753043574064893,0,0.5,-1.6117316923043497,80,18,67.80883734370241
104,Saint Peter's,MAAC,22-12,99.38676442290623,233,93.13615929129269,28,0.678524481306725,104,22,12,14,6,14-6,0.4778880495496664,0.4884476766775459,0.40025811850299287,0.4778880495496664,0.4884476766775459,0.40025811850299287,0.8346001582227771,0.7685720628785415,102.68405380433899,102.10906473501475,102.68405380433899,102.10906473501475,98.47979570467223,93.63694781045186,103.65324317268707,96.49436719154833,0.6948758945127512,7,0.003456505008616384,1336.0,1206.0,1327.7874999999997,1.0061851011551173,0.908277868258287,0,0.7,-5.5700746671317605,144,170,65.57425697246785
105,DePaul,BE,15-16,106.37419310949807,95,99.80210013423967,128,0.6755505873334716,105,15,16,6,14,6-14,0.6519325385375246,0.3797350975659011,0.7777258278976229,0.6519325385375246,0.3797350975659011,0.7777258278976229,0.7384053530373547,0.9124562918625534,105.5523455629201,98.69140733239593,105.5523455629201,98.69140733239593,106.01317965402089,99.13298970267678,111.80133853457474,104.75753325395121,0.6788219431952426,11,-0.00027206625001058304,1383.0,1471.0,1386.85,0.9972239247214912,1.0606770739445506,0,0.3,-4.693773719086118,129,174,68.76765584967355
106,South Carolina,SEC,18-13,100.13842942453259,221,94.24600383286428,38,0.6676151982435472,106,18,13,9,9,9-9,0.6704380665729208,0.48124128680782885,0.7895327927802972,0.6704380665729208,0.48124128680782885,0.7895327927802972,0.7181734213524182,0.8739463978092531,107.25642645512326,98.21625735225295,107.25642645512326,98.21625735225295,102.72950463795617,95.9359677402239,107.10806472022958,103.25571458907457,0.6037802982849025,12,0.12232058518716205,1245.0,1312.0,1289.5875,0.9654249905493035,1.017379588434286,0,0.5,-1.0598614327432885,74,8,70.57993456497731
107,Washington,P12,17-15,104.35430381924458,136,98.39882443644548,105,0.662795008272033,107,17,15,11,9,11-9,0.642836542252312,0.479516377582715,0.7177414895273836,0.642836542252312,0.479516377582715,0.7177414895273836,0.7670089094106909,0.8980333064681929,105.62246410636932,99.16875386361859,105.62246410636932,99.16875386361859,106.8656746507622,99.10269049861489,106.11657423179125,107.85998401665447,0.4532865076442604,7,0.02909466961963736,1420.0,1467.0,1400.1875,1.0141498906396464,1.0477168236396912,0,0.55,-4.416835610035772,123,103,69.57191204413874
108,Temple,Amer,17-12,101.59086971046278,188,96.18279084554747,60,0.6522824038328112,108,17,12,10,7,10-7,0.6126237721063517,0.4961531219237335,0.678309181976073,0.6126237721063517,0.4961531219237335,0.678309181976073,0.7655065521662721,0.8445753219309271,104.12661172046253,98.90916684459498,104.12661172046253,98.90916684459498,102.27845424613486,94.67810833043693,121.59700068649609,116.42962343351269,0.6223162024684785,7,0.0795925981648844,1113.0,1131.0,1150.125,0.9677208999021846,0.9833713726768829,0,0.5882352941176471,-2.485893302728144,92,31,66.28950718296039
109,Princeton,Ivy,23-7,111.53787175391889,32,105.89199353068602,252,0.645052601742121,109,23,7,12,2,12-2,0.38853134533597367,0.35051881433242127,0.3740939190030533,0.38853134533597367,0.35051881433242127,0.3740939190030533,0.9056456970542275,0.9159907744735888,100.26527460641934,104.26024309592287,100.26527460641934,104.26024309592287,111.01669595075994,104.92154452802853,133.82151764473042,127.0280142625129,0.6454599927355292,1,0.05502164373525442,1108.0,963.0,966.4000000000001,1.1465231788079469,0.9964817880794701,0,0.8571428571428571,-2.053450376796794,86,62,66.85202477673194
110,Minnesota,B10,13-17,106.09462231338529,98,100.79534863804085,143,0.6431930917648202,110,13,17,4,16,4-16,0.7070881655717851,0.4590544094528308,0.8188433901213564,0.7070881655717851,0.4590544094528308,0.8188433901213564,0.7076569804623666,0.8797940603084287,107.65759196796022,98.15874266001087,107.65759196796022,98.15874266001087,107.4267733361888,104.23768443442825,121.59552996680581,114.48077879733727,0.6667167605819414,12,0.028497321254521812,1309.0,1462.0,1299.5375000000001,1.0072814366649672,1.1250156305608725,0,0.2,-4.828512321818776,133,104,65.08691650003612
111,Boston College,ACC,13-20,103.9114209649893,148,98.75697169208385,115,0.642236247017867,111,13,20,6,14,6-14,0.6396927750783744,0.38926877727102027,0.7539181862402125,0.6396927750783744,0.38926877727102027,0.7539181862402125,0.7485001038424597,0.8936863328139557,105.51796971254069,99.23230194404988,105.51796971254069,99.23230194404988,103.04059455618815,99.0839974308628,109.72457800280293,106.52422037795131,0.5842905026892415,12,-0.07221910432498568,1325.0,1433.0,1346.9750000000001,0.9836856660294362,1.0638653278642884,0,0.3,-8.294587651178462,193,313,64.9790841919944
112,Hofstra,CAA,21-11,109.09607052036202,57,103.78456283048733,218,0.6396819093144608,112,21,11,13,5,13-5,0.48699817257672595,0.5006855382458584,0.47071719036441045,0.48699817257672595,0.5006855382458584,0.47071719036441045,0.8370722577055218,0.7736364777124618,103.8195315263973,102.6831486470654,103.8195315263973,102.6831486470654,107.6876316659043,103.33716136433668,128.3553987404547,95.8809194912273,0.9662520044416711,2,0.049343616934658385,1377.0,1302.0,1268.8125,1.0852667356287868,1.0261563469779813,0,0.7222222222222222,-3.428490540883317,106,73,68.93377450103478
113,Nebraska,B10,10-22,106.4963989373408,94,101.35760323826293,152,0.6384740580024164,113,10,22,4,16,4-16,0.6955796435833438,0.46739321932689015,0.8192618260205599,0.6955796435833438,0.46739321932689015,0.8192618260205599,0.7059706270255917,0.866122889438918,107.65637925161009,98.43348044275295,107.65637925161009,98.43348044275295,107.59004882705165,103.06337126458216,128.10030092650254,122.06824837763162,0.6352212720637502,13,-0.10525398178924367,1423.0,1619.0,1429.825,0.9952266885807703,1.1323064011330057,0,0.2,-9.158829124177055,212,346,71.41483215337485
114,Abilene Christian,WAC,25-11,104.49453012428276,132,99.51147317359442,125,0.6368944733142178,114,25,11,11,7,11-7,0.41485846962121276,0.2882480816551141,0.41865836621117214,0.41485846962121276,0.2882480816551141,0.41865836621117214,0.8827354261818827,0.9040335563403729,99.95397579321971,101.94467159110957,99.95397579321971,101.94467159110957,102.71427849390132,101.16655135528336,111.34734315799582,95.97808551974451,0.8465959690831938,1,0.018295907346708273,1304.0,1246.0,1283.9625,1.0156059853772987,0.9704333265184925,0,0.6111111111111112,-4.131164590731216,120,133,70.17941027150901
115,Stanford,P12,16-16,103.50302054646775,156,98.69001710071873,111,0.6335775458262001,115,16,16,8,12,8-12,0.6910003771717853,0.5496043094317802,0.747209099895238,0.6910003771717853,0.5496043094317802,0.747209099895238,0.7051042399447367,0.7698748058769888,106.66989307082758,97.47372233623192,106.66989307082758,97.47372233623192,102.30657443337059,97.75792422422046,106.08094245932442,100.08683996866925,0.6612541914113409,10,0.0859967959987693,1275.0,1356.0,1320.85,0.9652875042586214,1.0266116515879926,0,0.4,-3.205815233251025,102,27,65.99671918225941
116,Utah Valley,WAC,20-12,101.53730713153502,190,96.82670642844387,75,0.6332743123870757,116,20,12,10,8,10-8,0.4558961566857575,0.4416874651540439,0.4735895198652288,0.4558961566857575,0.4416874651540439,0.4735895198652288,0.8637902073477413,0.8453366147935594,100.87659493103988,101.88986094015641,100.87659493103988,101.88986094015641,101.89386993023693,98.65028105224359,94.47203894270751,102.1650179279934,0.288992476425554,1,-0.005511475150629996,1229.0,1187.0,1231.3124999999998,0.9981219227450385,0.9640119790873561,0,0.5555555555555556,-5.314212780523883,141,189,65.78206329465321
117,Butler,BE,14-19,102.26946879835847,174,97.59011817268507,87,0.6314871048960939,117,14,19,6,14,6-14,0.6767984601137438,0.45613997131785716,0.7820622540891219,0.6767984601137438,0.45613997131785716,0.7820622540891219,0.6929238200983456,0.7650088861093717,107.41909659087578,97.62459385448393,107.41909659087578,97.62459385448393,103.21036501820781,98.04191616236234,99.21277435805204,99.01081785824466,0.5058580168363687,16,0.014956163598755956,1260.0,1402.0,1319.8500000000004,0.9546539379474938,1.0622419214304653,0,0.3,-5.311265472582161,140,138,63.80813536893213
118,Louisville,ACC,13-19,103.03542191407973,162,98.3410315131296,102,0.6309424406997477,118,13,19,6,14,6-14,0.6912604860043716,0.5599848577969999,0.757007683924329,0.6912604860043716,0.5599848577969999,0.757007683924329,0.7281797697540343,0.8284228047070933,107.68504182348741,98.9173290816861,107.68504182348741,98.9173290816861,103.98866093939856,102.59116371116711,106.80404152624382,107.2009413227248,0.4893374891128332,9,-0.011673702999461744,1314.0,1461.0,1325.0875,0.9916326280339977,1.1025686982935088,0,0.3,-6.796352735206311,167,199,67.25738557722232
119,Morehead St.,OVC,23-11,102.81326595987409,167,98.24311725909772,97,0.6278246408777123,119,23,11,13,5,13-5,0.4117022999019697,0.4247364538036813,0.36754358227552353,0.4117022999019697,0.4247364538036813,0.36754358227552353,0.8554292437285465,0.8064464320084682,100.60005797212386,102.6968033760507,100.60005797212386,102.6968033760507,102.88239353151793,98.17033824430949,97.70022331204636,103.9646942215587,0.3285619262757112,6,0.019713072016042443,1269.0,1139.0,1205.5874999999999,1.0525988366667705,0.9447675925637916,0,0.7222222222222222,-3.9305179670027304,117,126,64.65905922049905
120,N.C. State,ACC,11-21,109.19221318758454,55,104.45161555286288,233,0.6249088357466795,120,11,21,4,16,4-16,0.6713286307220021,0.47756687710575324,0.7726981224395737,0.6713286307220021,0.47756687710575324,0.7726981224395737,0.728017427297664,0.8528204461625191,107.20530979781361,99.32058066079499,107.20530979781361,99.32058066079499,112.22214110706234,105.4499536377851,116.897850340264,108.03830036980811,0.7122565416745399,10,-0.09026490261601983,1420.0,1531.0,1344.0249999999996,1.0565279663696734,1.1391157158535001,0,0.2,0,62,332,67.09026536628339
121,George Mason,A10,14-16,104.70778942042908,126,100.18477339473142,131,0.6242926945859595,121,14,16,7,9,7-9,0.5557970763799717,0.4910567060477375,0.6137322453251369,0.5557970763799717,0.4910567060477375,0.6137322453251369,0.8221910705047475,0.8300530738604264,103.63175382811478,101.0132627746422,103.63175382811478,101.0132627746422,106.6071744593254,103.1967878733632,107.42711015120432,98.64324811711633,0.7273030289781961,3,-0.08157928280394955,1133.0,1141.0,1087.725,1.041623572134501,1.0489783722907906,0,0.4375,-8.152875313119367,191,326,64.96824156059783
122,Liberty,ASun,22-11,104.59135879158,129,100.21890168886242,133,0.6203649286773784,122,22,11,12,4,12-4,0.3747916440504099,0.3941627054396931,0.36310326447604385,0.3747916440504099,0.3941627054396931,0.36310326447604385,0.9068452012574435,0.877098675338616,100.7883507483452,104.54809405956654,100.7883507483452,104.54809405956654,109.06065968079918,102.58376128168679,101.48691709329518,93.56082482177914,0.71812067544434,1,-0.042519364909926805,1234.0,1093.0,1088.8249999999998,1.133331802631277,1.0038344086515283,0,0.75,-6.147227763111579,155,265,65.0338331530589
123,Utah,P12,11-20,106.59837749947252,91,102.20300659142757,178,0.6187468762114797,123,11,20,4,16,4-16,0.6534937779549166,0.5122970788361169,0.7236270659985877,0.6534937779549166,0.5122970788361169,0.7236270659985877,0.7637125731237077,0.8611917268630404,105.17526518231357,98.64380694624785,105.17526518231357,98.64380694624785,104.88867258043311,103.15467863236567,108.66845788090843,106.72690861339846,0.5516463845436473,7,-0.09308185115981243,1354.0,1483.0,1367.5500000000002,0.9900917699535665,1.0844210449343716,0,0.2,-9.45087570763982,219,335,66.36895051446238
124,Nevada,MWC,13-18,105.79658005252426,103,101.6945545323037,166,0.6117706124788799,124,13,18,6,12,6-12,0.6402362870262188,0.5370781684157557,0.6981336249778552,0.6402362870262188,0.5370781684157557,0.6981336249778552,0.7449743493347443,0.7714472114353392,105.91404726269016,98.54616734647115,105.91404726269016,98.54616734647115,106.41508887979434,103.20003552556678,111.84984672033404,101.16242759739235,0.7604127691209491,9,-0.02679791310038815,1248.0,1309.0,1234.35,1.0110584518167458,1.0604771742212502,0,0.3333333333333333,-6.998097426058258,172,232,70.32331626029784
125,Western Kentucky,CUSA,19-13,105.4767876881119,108,101.53443044934343,157,0.6077987970162401,125,19,13,11,7,11-7,0.46186692623150716,0.42796335118165063,0.47400833170095436,0.46186692623150716,0.42796335118165063,0.47400833170095436,0.8593471815918632,0.834333061375514,102.26640306634027,102.33577586644236,102.26640306634027,102.33577586644236,108.70190376661843,103.64924531219205,92.26614276915774,91.9510696520897,0.5098331669346146,2,-0.028047749031947178,1354.0,1272.0,1233.775,1.0974448339446008,1.0309821482847359,0,0.6111111111111112,-6.350838265388293,160,235,68.6995066434336
126,Wofford,SC,19-13,105.30717246345809,115,101.38503715579584,154,0.607423342295634,126,19,13,10,8,10-8,0.47931016528164444,0.4141897320688624,0.5069976066381844,0.47931016528164444,0.4141897320688624,0.5069976066381844,0.8667088024825153,0.8760337400223239,104.07419457869426,103.61634709282826,104.07419457869426,103.61634709282826,104.93128954222827,100.43657576097226,105.44237632865453,100.18355614452632,0.6429856072563689,2,-0.0051243361271683385,1261.0,1203.0,1169.6125,1.0781348523549465,1.028545779050754,0,0.5555555555555556,-6.322882717326155,159,188,64.14690654034258
127,Southern Illinois,MVC,16-15,101.6707641794377,186,97.92761683501243,94,0.6062028334270024,127,16,15,9,9,9-9,0.504425051326152,0.385256745427257,0.5706475624833806,0.504425051326152,0.385256745427257,0.5706475624833806,0.8376006207559641,0.8721291850928089,102.68042332771726,101.81274294089222,102.68042332771726,101.81274294089222,102.5989076565825,97.71862141592194,88.62621368352198,90.42933542289587,0.44235200181372075,2,-0.057889194296865676,1141.0,1118.0,1121.1625000000001,1.017693688470672,0.9971792670553999,0,0.5,-7.515251664900597,180,294,62.13253928947696
128,Akron,MAC,24-10,105.46946372033938,109,101.66552392309161,162,0.6040650661136815,128,24,10,14,6,14-6,0.38268975658964244,0.3309297288839514,0.3465343200436884,0.38268975658964244,0.3309297288839514,0.3465343200436884,0.8943641087599195,0.8996254703977407,100.83344360157082,104.44292610889798,100.83344360157082,104.44292610889798,104.99806388113947,104.5673069812492,108.19926913079502,90.75097689675945,0.8831224229888375,2,0.01997671121690281,1404.0,1295.0,1273.9,1.1021273255357562,1.0165633095219404,0,0.7,-4.270942674035944,122,125,61.94676658459291
129,Colgate,Pat,23-12,106.99371854459318,82,103.19778298896135,204,0.6023847927480271,129,23,12,16,2,16-2,0.34715887091540015,0.49646384619937345,0.23181116458576467,0.34715887091540015,0.49646384619937345,0.23181116458576467,0.897462106005022,0.8149326939313364,99.1914013034667,105.52518260346336,99.1914013034667,105.52518260346336,105.42162839318044,102.05391787936009,112.57755816988978,103.41136363510334,0.7264463052021317,4,-0.046249762150032625,1364.0,1145.0,1206.3,1.1307303324214542,0.9491834535356047,0,0.8888888888888888,-6.105115699406637,153,277,66.99786451439196
130,Charleston,CAA,17-15,105.27815805555302,116,101.55284469509323,159,0.6021200986973836,130,17,15,8,10,8-10,0.5067789333222108,0.5421050563356241,0.47481473761905035,0.5067789333222108,0.5421050563356241,0.47481473761905035,0.8431746613508481,0.7854932788329508,102.94490640485944,102.5488867516131,102.94490640485944,102.5488867516131,104.35677993245056,103.49067852466614,120.49834026444033,108.82540563582867,0.7634608998251005,4,-0.037904911053152746,1391.0,1368.0,1319.575,1.0541272758274445,1.0366974215182918,0,0.4444444444444444,0,60,259,73.67447948790341
131,Stephen F. Austin,WAC,22-10,101.91618651126498,181,98.32408895756254,101,0.6017206848036198,131,22,10,14,4,14-4,0.42195911132671465,0.38900930901894054,0.43340996987358094,0.42195911132671465,0.38900930901894054,0.43340996987358094,0.8751204159114977,0.8560707486152196,101.67693097792176,102.68101736769354,101.67693097792176,102.68101736769354,102.08817531886037,96.85636686903563,113.47722543499752,92.83705452110445,0.9095948060408089,1,0.03936834915312437,1326.0,1173.0,1271.075,1.043211454870877,0.9228409023857758,0,0.7777777777777778,-3.1392362559407196,100,89,69.02549309507319
132,Texas St.,SB,21-8,105.32139332285301,113,101.71385306788021,168,0.5988822880283463,132,21,8,12,3,12-3,0.3875055262292701,0.34126493169817235,0.38721008655517725,0.3875055262292701,0.34126493169817235,0.38721008655517725,0.8693497720048666,0.825750475557879,100.32763648370694,102.71220068021317,100.32763648370694,102.71220068021317,104.94407450459371,101.40335583469216,106.08571877149994,108.11473772800431,0.4457458059591364,4,0.05485372565531088,1015.0,938.0,958.3749999999999,1.0590843876353204,0.9787400547802271,0,0.8,-2.2596382312788843,88,63,63.673963549613674
133,Georgia St.,SB,18-11,101.906112872307,182,98.41713447399397,106,0.5988379550076055,133,18,11,9,5,9-5,0.4391929563581858,0.3958549443646459,0.42672492856203,0.4391929563581858,0.3958549443646459,0.42672492856203,0.8685700766329238,0.8604732441954965,100.98648847299637,100.8764875266735,100.98648847299637,100.8764875266735,97.63828400717163,94.58380007643954,100.4346596196154,103.7863040610428,0.406728435634829,2,-0.003988079452736604,932.0,871.0,950.2874999999999,0.9807558238954002,0.9165647238335768,0,0.6428571428571429,-5.139912816248251,138,187,67.28479768795899
134,Kent St.,MAC,23-11,102.39140454118908,172,99.07511941848762,119,0.593542846267553,134,23,11,16,4,16-4,0.41163652435834863,0.42747306064380286,0.38535739811521524,0.41163652435834863,0.42747306064380286,0.38535739811521524,0.8930358734315544,0.8611793869097204,102.26383488988184,104.79847139152534,102.26383488988184,104.79847139152534,100.87440695829727,96.97359674007792,94.25621031051926,91.82321793581659,0.5746240450880598,2,0.02150321324794391,1432.0,1310.0,1371.3874999999998,1.0441979382195041,0.9552369406896302,0,0.8,-4.539163215418786,126,121,65.7268106638959
135,Delaware,CAA,22-13,106.51286895617659,93,103.14414045586187,202,0.591360238847145,135,22,13,10,8,10-8,0.47426585102923996,0.4041905063316442,0.47598684608381536,0.47426585102923996,0.4041905063316442,0.47598684608381536,0.8636034712528533,0.8851699161484762,102.2042070344663,102.63432141877928,102.2042070344663,102.63432141877928,108.07497579379641,106.04780423668404,109.33723092184655,113.83619836047342,0.38610340134156407,2,0.033505589093627886,1334.0,1305.0,1227.6374999999998,1.086639989410555,1.0630173809451082,0,0.5555555555555556,-5.4533680594150225,143,97,66.62277061080671
136,Florida Atlantic,CUSA,19-15,104.50138936293405,131,101.21526830893384,150,0.5908387025148794,136,19,15,11,7,11-7,0.4156918336723087,0.3086020643470824,0.48806361104895757,0.4156918336723087,0.3086020643470824,0.48806361104895757,0.8851261055145911,0.9117439647812557,101.52488466277393,103.51987761231794,101.52488466277393,103.51987761231794,107.16826458934285,100.30745568198121,87.96180385476853,91.83928917266348,0.37846197768365486,2,-0.0900595620419834,1325.0,1228.0,1230.4750000000001,1.0768199272638614,0.9979885816452995,0,0.6111111111111112,-8.063812910088203,190,331,67.14797042548244
