,Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
122,129.0,UNC Greensboro,SC,2.81,108.6,105.8,64.2,-0.006,-1.21,107.8,109.0,2.43
123,130.0,Northern Colorado,BSky,2.79,112.1,109.3,69.4,0.065,-3.26,106.6,109.8,2.82
124,131.0,Wofford,SC,2.78,112.2,109.4,64.4,-0.052,0.38,107.9,107.5,6.27
125,132.0,Belmont,MVC,2.76,114.1,111.4,70.8,0.092,0.19,107.4,107.2,-1.09
126,133.0,East Tennessee St.,SC,2.74,107.8,105.1,65.4,-0.071,-2.83,106.5,109.3,-2.19
127,134.0,Duquesne,A10,2.58,106.3,103.7,65.4,-0.105,1.59,107.5,105.9,-1.7
128,135.0,New Mexico St.,CUSA,2.57,103.3,100.8,65.4,-0.018,2.56,107.2,104.6,2.27
129,136.0,DePaul,BE,2.56,108.7,106.2,67.3,-0.074,8.58,111.2,102.6,-9.0
130,137.0,Cornell,Ivy,2.43,114.3,111.9,71.1,-0.027,-1.94,106.5,108.4,-2.03
131,138.0,Milwaukee,Horz,2.3,108.5,106.2,68.9,0.012,-2.56,106.6,109.2,3.02
132,139.0,Davidson,A10,2.29,111.3,109.0,65.6,-0.001,0.7,107.0,106.3,-4.03
133,140.0,Kennesaw St.,CUSA,2.24,105.8,103.5,70.8,0.027,3.26,107.6,104.3,3.84
134,141.0,Illinois St.,MVC,2.09,113.7,111.6,65.8,-0.011,1.01,108.5,107.5,-0.69
135,142.0,Rhode Island,A10,2.02,109.2,107.2,70.6,0.016,-0.02,106.4,106.4,-5.65
136,143.0,UC Riverside,BW,1.9,110.7,108.8,67.4,0.13,3.16,108.7,105.6,9.24
137,144.0,Western Kentucky,CUSA,1.87,104.4,102.6,72.4,0.034,3.52,108.0,104.5,2.72
138,145.0,UC Santa Barbara,BW,1.77,109.3,107.5,65.5,-0.015,-2.9,105.2,108.1,-7.63
139,146.0,Virginia Tech,ACC,1.56,108.4,106.8,65.5,0.031,6.76,111.5,104.7,-0.26
140,147.0,Murray St.,MVC,1.39,106.5,105.2,65.1,-0.039,2.28,108.9,106.6,1.94
141,148.0,Furman,SC,1.38,108.3,106.9,66.1,0.13,-1.62,106.6,108.2,0.85
142,149.0,Seattle,WAC,1.38,106.2,104.8,66.0,-0.176,1.2,106.1,104.9,5.66
143,150.0,Towson,CAA,0.97,106.8,105.8,63.7,0.097,-1.56,106.4,108.0,3.93
144,151.0,UTEP,CUSA,0.9,106.0,105.1,68.8,0.036,2.44,106.9,104.4,1.48
145,152.0,Robert Morris,Horz,0.87,106.1,105.2,68.3,0.083,-5.88,105.2,111.1,-8.14
146,153.0,Charleston,CAA,0.84,106.9,106.1,70.7,0.153,-2.08,106.3,108.4,0.56
147,154.0,James Madison,SB,0.83,111.4,110.6,65.0,0.066,-1.06,106.3,107.4,4.5
148,155.0,Tulane,Amer,0.6,107.9,107.3,67.1,-0.019,-1.8,106.5,108.3,-5.71
149,156.0,Radford,BSth,0.55,110.3,109.8,63.2,0.065,-1.65,107.6,109.2,2.18
150,157.0,Loyola Marymount,WCC,0.49,103.8,103.3,67.2,0.075,3.81,109.9,106.1,0.46
151,158.0,Illinois Chicago,MVC,0.33,108.6,108.2,69.6,0.067,2.21,108.4,106.2,3.31
152,159.0,Bryant,AE,0.26,107.4,107.1,72.5,-0.008,-4.84,104.4,109.3,0.88
153,160.0,Appalachian St.,SB,0.21,101.8,101.6,63.6,-0.017,-2.3,107.2,109.5,4.1
154,163.0,Purdue Fort Wayne,Horz,-0.13,110.4,110.5,69.9,-0.001,-3.4,105.7,109.1,0.85
155,164.0,Cal Baptist,WAC,-0.23,106.9,107.1,66.4,-0.026,-0.38,105.3,105.7,0.59
156,165.0,Miami OH,MAC,-0.25,108.1,108.3,69.4,0.095,-4.94,104.5,109.4,-2.39
157,166.0,Cleveland St.,Horz,-0.27,104.7,104.9,66.0,0.04,-3.74,105.8,109.6,0.19
158,167.0,Marshall,SB,-0.41,106.8,107.2,69.1,0.005,-3.83,105.9,109.7,-3.27
159,168.0,Sam Houston St.,CUSA,-0.46,110.4,110.8,67.8,-0.072,5.58,108.4,102.8,7.96
160,169.0,Florida Gulf Coast,ASun,-0.58,108.6,109.2,65.5,-0.026,-3.0,106.6,109.6,4.36
161,170.0,Lamar,Slnd,-0.59,103.4,104.0,65.6,0.045,-1.96,105.9,107.8,4.31
162,171.0,Nicholls,Slnd,-0.59,107.4,108.0,68.4,0.059,-1.09,105.5,106.6,8.95
163,172.0,San Jose St.,MWC,-0.59,108.8,109.4,66.4,0.004,5.21,109.6,104.4,-2.74
164,173.0,Temple,Amer,-0.72,110.2,110.9,69.0,0.008,0.79,107.8,107.0,-1.26
165,174.0,Winthrop,BSth,-0.74,109.1,109.8,73.0,0.085,-3.39,106.3,109.7,-2.41
166,175.0,Central Connecticut,NEC,-0.8,101.8,102.6,66.2,0.036,-10.04,101.6,111.6,-1.6
167,176.0,Jacksonville,ASun,-0.93,102.3,103.3,67.8,0.067,-2.23,108.0,110.2,7.46
