,Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
306,323.0,Rider,MAAC,-14.1,101.0,115.1,65.3,0.075,-4.91,103.8,108.7,0.53
307,324.0,Oral Roberts,Sum,-14.13,103.6,117.7,67.8,-0.01,1.03,110.1,109.0,7.9
308,325.0,Morehead St.,OVC,-14.29,98.5,112.8,64.1,0.089,-5.94,102.6,108.5,6.12
309,326.0,Lindenwood,OVC,-14.78,95.2,110.0,69.9,0.108,-6.73,103.2,109.9,4.67
310,327.0,Coastal Carolina,SB,-14.92,101.0,115.9,63.6,-0.039,-4.1,104.9,109.0,-5.19
311,328.0,Niagara,MAAC,-14.93,100.9,115.8,65.1,-0.017,-7.39,102.3,109.7,-4.35
312,329.0,Grambling St.,SWAC,-14.97,97.0,112.0,64.4,-0.079,-5.69,103.3,109.0,10.83
313,330.0,East Texas A&M,Slnd,-15.11,96.7,111.8,67.6,-0.027,-0.61,106.7,107.3,5.29
314,331.0,Morgan St.,MEAC,-15.17,103.8,119.0,70.5,0.016,-7.68,103.4,111.1,-3.01
315,332.0,North Carolina A&T,CAA,-15.51,98.0,113.5,69.3,-0.002,-2.19,105.9,108.1,-0.45
316,333.0,Stony Brook,CAA,-15.75,102.0,117.7,64.9,-0.009,-2.35,105.5,107.9,-0.11
317,334.0,Green Bay,Horz,-15.77,101.1,116.9,69.0,-0.055,-0.93,107.1,108.0,4.51
318,335.0,Southern Indiana,OVC,-16.54,98.9,115.4,67.2,-0.027,-7.18,102.5,109.7,-1.64
319,336.0,Fairfield,MAAC,-16.67,99.7,116.3,65.7,0.08,-5.84,103.1,109.0,-2.13
320,337.0,Detroit Mercy,Horz,-16.78,95.2,112.0,67.0,0.027,-1.83,107.5,109.3,1.44
321,338.0,USC Upstate,BSth,-16.84,99.5,116.4,72.9,-0.024,0.15,108.4,108.3,3.16
322,339.0,Sacramento St.,BSky,-17.27,95.2,112.5,65.8,-0.022,-2.52,106.9,109.4,0.02
323,340.0,Western Carolina,SC,-17.3,95.8,113.1,70.9,0.025,1.21,108.6,107.4,7.87
324,341.0,Buffalo,MAC,-17.52,96.3,113.8,71.3,0.031,-3.2,106.5,109.7,1.03
325,342.0,Bellarmine,ASun,-17.64,104.3,121.9,66.5,-0.109,-3.12,106.2,109.3,-0.85
326,343.0,Mercyhurst,NEC,-17.7,99.1,116.8,65.0,0.099,-8.46,101.7,110.2,-0.65
327,344.0,Central Arkansas,ASun,-18.1,98.2,116.3,66.6,0.036,-1.79,107.3,109.1,2.99
328,345.0,Cal St. Fullerton,BW,-18.11,95.5,113.6,68.4,-0.015,2.96,108.0,105.0,5.05
329,346.0,Louisiana Monroe,SB,-18.18,96.6,114.8,68.2,-0.02,-2.47,105.6,108.1,-2.86
330,347.0,Western Illinois,OVC,-18.27,99.5,117.8,64.5,0.037,-7.42,102.1,109.6,-2.12
331,348.0,Wagner,NEC,-18.28,93.1,111.4,60.4,0.076,-9.89,100.7,110.5,-1.34
332,349.0,West Georgia,ASun,-18.28,97.4,115.7,68.3,0.012,-1.63,107.4,109.1,2.63
333,350.0,New Orleans,Slnd,-18.43,99.6,118.0,69.4,-0.016,1.44,107.6,106.2,10.88
334,351.0,Northern Illinois,MAC,-18.53,95.2,113.7,69.3,-0.117,-2.79,106.6,109.4,-0.21
335,352.0,Stetson,ASun,-19.29,99.9,119.2,67.9,-0.015,-3.7,106.6,110.3,0.55
336,353.0,Le Moyne,NEC,-20.38,101.2,121.6,68.9,0.003,-6.96,102.7,109.7,1.26
337,354.0,NJIT,AE,-20.64,93.3,113.9,66.6,-0.073,-5.48,104.2,109.7,-2.95
338,355.0,New Hampshire,AE,-21.22,94.6,115.9,67.6,0.023,-5.71,104.7,110.4,-2.34
339,356.0,The Citadel,SC,-21.38,96.0,117.4,64.7,-0.135,-2.08,106.7,108.8,-6.32
340,357.0,Prairie View A&M,SWAC,-21.81,96.1,117.9,70.6,-0.06,-4.04,104.5,108.5,11.26
341,358.0,Canisius,MAAC,-22.12,100.8,122.9,66.1,-0.08,-4.1,103.8,107.9,4.02
342,359.0,Alabama A&M,SWAC,-22.34,93.2,115.5,72.0,-0.019,-9.37,102.3,111.7,2.54
343,360.0,Maryland Eastern Shore,MEAC,-23.37,95.2,118.5,66.2,-0.105,-2.28,106.4,108.7,10.24
344,363.0,Arkansas Pine Bluff,SWAC,-26.82,95.1,122.0,72.2,-0.058,-7.4,102.3,109.7,7.54
345,364.0,Mississippi Valley St.,SWAC,-44.57,82.1,126.6,64.7,0.001,-1.6,105.4,107.0,19.28
